category,word
animal,alligator
animal,ant
animal,anteater
animal,ape
animal,baboon
animal,bat
animal,bear
animal,beaver
animal,beetle
animal,boar
animal,buffalo
animal,camel
animal,cat
animal,caterpillar
animal,centipede
animal,chimpanzee
animal,chipmunk
animal,cow
animal,crab
animal,crane
animal,crocodile
animal,deer
animal,dog
animal,dolphin
animal,donkey
animal,dove
animal,duck
animal,eagle
animal,elephant
animal,flamingo
animal,flies
animal,fox
animal,frog
animal,giraffe
animal,goat
animal,goose
animal,gorilla
animal,hamster
animal,hedgehog
animal,hippopotamus
animal,jaguar
animal,kangaroo
animal,koala
animal,mole
animal,monkey
animal,mouse
animal,octopus
animal,orangutan
animal,ostrich
animal,otter
animal,owl
animal,panda
animal,parrot
animal,peacock
animal,penguin
animal,pig
animal,platypus
animal,porcupine
animal,rabbit
animal,raccoon
animal,seal
animal,sheep
animal,skunk
animal,sloth
animal,snail
animal,snake
animal,spider
animal,squid
animal,tadpole
animal,tiger
animal,toad
animal,tortoise
animal,turkey
animal,walrus
animal,worm
animal,zebra
